start_time, end_time
24, 29
189.4, 193
362, 364
633, 635
809, 834
974, 977
1055, 1057
1064, 1068
1158, 1161
1197, 1200
1863.7, 1866
1976, 1979
2056, 2059
2125, 2128
2189, 2193.4
2204, 2208
2359.3, 2385
2504, 2507
2649, 2667
2810, 2818
2871, 2878
2936, 2939
2961.3, 2971
3176, 3186
3226, 3229
3239, 3295
