start_time, end_time
19 , 39
409, 412
521, 524
666, 672
810, 812.4
907, 908
1372.5, 1376
1439, 1440.5
1465 , 1471
1880, 1883
2012, 2014
2044 , 2048
2072 , 2075.5
2089, 2096
2140, 2144
2300, 2303
2376, 2383
2424, 2431
2441, 2443
2488, 2496
2613, 2617
2650, 2653
2663, 2667
2698, 2746
2920, 2940
3223, 3289
