start_time, end_time
45.5 , 46.6
874.5 , 877.5
961 , 963.4
1171 , 1173.2
1215 , 1218
1321 , 1322
1323.5 , 1326
1396.5 , 1399
1501.5 , 1504.5
1679 , 1685
1863 , 1866.5
1918.5 , 1919.5
2144 , 2147.2
2277.6 , 2282
2402 , 2405.5
2547.5 , 2551.7
2790 , 2796.5
2847 , 2855
3136.5 , 3139.5
3208.5 , 3252
