start_time, end_time
31, 37
47, 52
103, 105
147, 151
161, 164.5
193, 196.5
209, 211
261, 265
293, 295
309, 313
325, 328
353, 356
373, 377
385, 391
401, 404
417, 420.5
435, 438
481, 486
496, 500
546, 548
550, 552
561, 569
576, 580
581, 585
598, 600
641, 647
693, 697
720, 723
725, 729
870, 874
901, 905
935, 937
948.5, 950
980.4, 981
992, 1001
1014, 1017
1043, 1044
1059, 1060
1076.5, 1080
1091, 1093
1107, 1113
1136, 1137
1140.3, 1145
1153, 1156
1216, 1225.5
1232, 1240
1268, 1270
1408, 1413
1428, 1430
1476, 1480
1808, 1811
1823.5, 1827
1840, 1842
1857, 1859
1871.5, 1875
1904, 1912
1939, 1941
1951.3, 1957
1972, 1975
1983.4, 1992
2000, 2002
2029, 2039
2067.5, 2069
2080, 2085
2100, 2104
2111, 2115
2208, 2216
2224, 2227
2239, 2242
2259.5, 2261
2293, 2296
2335, 2344
2351, 2359
2367, 2374
2399, 2407
2415, 2420
2449, 2456
2481, 2487
2510.5, 2518
2542.6, 2551
2582, 2585
2591, 2597
2639, 2644
2648.2, 2648.7
2655, 2658
2671, 2678
2686.7, 2695
2703, 2708
2719, 2721
2742, 2743.5
2782.5, 2790
2846.5, 2850
2910.5, 2919
2926.4, 2929
2948, 2951
2958.5, 2961
2977, 2978.3
3028, 3031 
3075, 3078
3086.3, 3090
3107, 3109
3152, 3156
3198.5, 3201
3219, 3221
3231, 3236
3246, 3252






