start_time, end_time
23 , 24
312.5 , 314
420 , 423
463.5 , 466.3
518 , 523
538.5 , 541.2
623.5 , 628
719 , 726
789.5 , 790.9
810.5 , 815
861 , 863
993.5 , 996.4
1031.5 , 1035.6
1085.7 , 1090
1153.5 , 1158
1257.5 , 1260.5
1277 , 1280.99
1287 , 1289
1319.5 , 1325.4
1336 , 1340
1358.5 , 1360.3
1374 , 1375.3
1441 , 1445
1486 , 1490
1497 , 1500
1518 , 1520
1616 , 1619
1647.5 , 1650
1706 , 1708
1711 , 1714.5
1835 , 1837.5
1843.9 , 1846
1920 , 1922 
1944 , 1946
1955.5 , 1957
2085 , 2087
2252 , 2254.9
2271 , 2274.4
2349.3 , 2352.5
2428.3 , 2430.5
2456.5 , 2458
2548.2 , 2551
2631 , 2633.5
2652 , 2659
2744 , 2746.5 
2754 , 2755.5
2805 , 2807.5
2824.35 , 2826
2855 , 2858.5
2886 , 2891
2901.5 , 2903.7
2952.75 , 2953.67
2970 , 2972.5
3055 , 3061
3185.8 , 3187
