start_time, end_time
20 , 26
151, 158
188, 191
213, 216
325, 334
342, 344
373, 382
389, 392
458, 460
533, 542
581, 588
597, 605.5
628.8, 631
659, 669.5
677, 686.7
692.7, 696.5
708.5, 718.8
732, 733.5
754, 765
782, 783.5
832, 843
860, 861
876.5, 878.5
893.8, 894.6
938, 944
945, 950
996.5, 1016
1029, 1133
1152, 1181
1188, 1197
1241, 1245
1255, 1256.2
1291, 1292
1303, 1306
1328, 1341
1370, 1374
1457, 1471
1643, 1649
1705, 1717
1740.5, 1750
1763, 1765
1771, 1773
1787, 1792
1810, 1879
1915, 1921
1930, 1937
1949, 1956
1984, 1987
2036, 2046
2084, 2085.5
2093, 2101.5
2220, 2229
2250, 2256
2282, 2287
2300, 2309
2315, 2325
2365, 2368
2397, 2405
2413, 2416
2425, 2427.4
2465, 2468
2489, 2533
2568, 2608
2625, 2629
2673, 2676
2703, 2709
2716, 2720
2729, 2739
2745, 2752
2762, 2775
2827.4, 2832
2844, 2864
2940, 2944
2994, 2997
3021, 3044
3068, 3136




